ID,Customer_Name,Order_ID,Order_Date,Product,Category,Payment_Method,Status,Total,Quantity,Price
100,Customer_100,ORD-41285,2024-11-22,Blender,Home,Cash on Delivery,Shipped,114.0,3.0,38.0
102,Customer_102,ORD-84355,2024-12-23,Tennis Racket,Sports,PayPal,Delivered,389.05,1.0,389.05
103,Customer_103,ORD-57811,2025-03-19,Science,Books,PayPal,Processing,1169.6,5.0,233.92
104,Customer_104,ORD-93614,2025-10-20,Biography,Books,Cash on Delivery,Processing,552.51,1.0,552.51
105,Customer_105,ORD-22442,2024-11-20,Tennis Racket,Sports,Cash on Delivery,Cancelled,366.18,3.0,122.06
107,Customer_107,ORD-89122,2025-01-03,Biography,Books,PayPal,Returned,2938.3999999999996,5.0,587.68
108,Customer_108,ORD-64400,2025-10-23,Science,Books,Cash on Delivery,Processing,600.29,1.0,600.29
109,Customer_109,ORD-18512,2025-05-03,Tennis Racket,Sports,Credit Card,Shipped,841.7,5.0,168.34
111,Customer_111,ORD-72349,2025-10-22,Comics,Books,Credit Card,Returned,1731.54,2.0,865.77
112,Customer_112,ORD-80867,2025-03-02,Shoes,Clothing,Bank Transfer,Delivered,3008.52,4.0,752.13
113,Customer_113,ORD-23994,2025-07-24,Fiction,Books,Credit Card,Processing,411.81,1.0,411.81
114,Customer_114,ORD-77417,2023-01-05,Smartphone,Electronics,Cash on Delivery,Shipped,826.26,2.0,413.13
115,Customer_115,ORD-72778,2025-01-10,Fiction,Books,Cash on Delivery,Returned,1593.68,2.0,796.84
118,Customer_118,ORD-96061,2025-05-31,Science,Books,PayPal,Processing,1239.1,5.0,247.82
119,Customer_119,ORD-76016,2024-12-19,Basketball,Sports,Cash on Delivery,Processing,1752.76,4.0,438.19
120,Customer_120,ORD-14659,2025-06-13,Yoga Mat,Electronics,Credit Card,Cancelled,1500.0,5.0,300.0
121,Customer_121,ORD-80067,2025-10-11,Basketball,Sports,Credit Card,Delivered,2092.04,4.0,523.01
122,Customer_122,ORD-21443,2025-05-16,Microwave,Home,PayPal,Shipped,1113.86,2.0,556.93
123,Customer_123,ORD-11314,2025-10-06,Vacuum,Electronics,Cash on Delivery,Cancelled,1847.73,3.0,615.91
125,Customer_125,ORD-23202,2025-02-09,Comics,Books,PayPal,Shipped,3062.76,4.0,765.69
126,Customer_126,ORD-11261,2025-05-18,Shoes,Clothing,Bank Transfer,Cancelled,3347.2,4.0,836.8
127,Customer_127,ORD-65482,2025-05-12,Blender,Home,Bank Transfer,Returned,1680.1,5.0,336.02
128,Customer_128,ORD-12270,2024-11-10,Lamp,Electronics,Bank Transfer,Delivered,2696.07,3.0,898.69
